"fstype","fstypename","fine3","newname","age","age_class","age2","upl_low","broad","broad2","con","con_decid_mixed","decid","fine1","fine2"
"821","Sugar maple/Basswood",,"Sugar maple/Basswood","regeneration",,,,,"upl decid regen",,,,,
"822","Sugar maple/Basswood",,"Sugar maple/Basswood","regeneration",,,,,"upl decid regen",,,,,
"823","Sugar maple/Basswood",,"Sugar maple/Basswood","regeneration",,,,,"upl decid regen",,,,,
"824","Sugar maple/Basswood","maple pole","Sugar maple/Basswood","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
"825","Sugar maple/Basswood","maple pole","Sugar maple/Basswood","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
"826","Sugar maple/Basswood","maple pole","Sugar maple/Basswood","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
"827","Sugar maple/Basswood","maple saw","Sugar maple/Basswood","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
"828","Sugar maple/Basswood","maple saw","Sugar maple/Basswood","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
"829","Sugar maple/Basswood","maple saw","Sugar maple/Basswood","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
"851","Sugar maple",,"Sugar maple","regeneration",,,,,"upl decid regen",,,,,
"852","Sugar maple",,"Sugar maple","regeneration",,,,,"upl decid regen",,,,,
"853","Sugar maple",,"Sugar maple","regeneration",,,,,"upl decid regen",,,,,
"854","Sugar maple","maple pole","Sugar maple","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
"855","Sugar maple","maple pole","Sugar maple","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
"856","Sugar maple","maple pole","Sugar maple","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
"906","Aspen/Paper Birch","ab pole","Aspen/Paper Birch","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"907","Aspen/Paper Birch","ab saw","Aspen/Paper Birch","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"908","Aspen/Paper Birch","ab saw","Aspen/Paper Birch","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"909","Aspen/Paper Birch","ab saw","Aspen/Paper Birch","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"911","Quaking aspen","decid regen","Aspen","regeneration","regen","regen","upl","upl decid","upl decid regen","not conif","decid","decid","upl regen","ab"
"912","Quaking aspen","decid regen","Aspen","regeneration","regen","regen","upl","upl decid","upl decid regen","not conif","decid","decid","upl regen","ab"
"913","Quaking aspen","decid regen","Aspen","regeneration","regen","regen","upl","upl decid","upl decid regen","not conif","decid","decid","upl regen","ab"
"914","Quaking aspen","ab pole","Aspen","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"915","Quaking aspen","ab pole","Aspen","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"916","Quaking aspen","ab pole","Aspen","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"917","Quaking aspen","ab saw","Aspen","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"918","Quaking aspen","ab saw","Aspen","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"919","Quaking aspen","ab saw","Aspen","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"921","Paper birch",,"Aspen/Birch","regeneration",,,,,"upl decid regen",,,,,
"922","Paper birch",,"Aspen/Birch","regeneration",,,,,"upl decid regen",,,,,
"923","Paper birch",,"Aspen/Birch","regeneration",,,,,"upl decid regen",,,,,
"924","Paper birch","ab pole","Aspen/Birch","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
